49;Ванкувер;Британская Колумбия;Канада;-8;America/Vancouver
1650;Модиин;Центральный округ;Израиль;2;Asia/Jerusalem
213;Нетания;Центральный округ;Израиль;2;Asia/Jerusalem
272;Реховот;Центральный округ;Израиль;2;Asia/Jerusalem
1633;Явне;Центральный округ;Израиль;2;Asia/Jerusalem
16;Ашдод;Южный округ;Израиль;2;Asia/Jerusalem
1515;Ашкелон;Южный округ;Израиль;2;Asia/Jerusalem
25;Бейт-Шемеш;Южный округ;Израиль;2;Asia/Jerusalem
24;Беэр-Шева;Южный округ;Израиль;2;Asia/Jerusalem
1520;Кирьят-Гат;Южный округ;Израиль;2;Asia/Jerusalem
392;Эйлат;Южный округ;Израиль;2;Asia/Jerusalem
1472;Балви;;Латвия;2;Europe/Riga
83;Даугавпилс;;Латвия;2;Europe/Riga
173;Лауцесе;;Латвия;2;Europe/Riga
271;Резекне;;Латвия;2;Europe/Riga
274;Рига;;Латвия;2;Europe/Riga
1646;Саулкрасти;;Латвия;2;Europe/Riga
1637;Сигулда;;Латвия;2;Europe/Riga
1643;Юрмала;;Латвия;2;Europe/Riga
598;Вильнюс;;Литва;2;Europe/Vilnius
58;Висагинас;;Литва;2;Europe/Vilnius
474;Клайпеда;;Литва;2;Europe/Vilnius
1608;Бельцы;;Молдова;2;Europe/Chisinau
147;Кишинёв;;Молдова;2;Europe/Chisinau
280;Рыбница;;Молдова;2;Europe/Chisinau
330;Тирасполь;;Молдова;2;Europe/Chisinau
128;Калининград;Калининградская область;Россия;2;Europe/Kaliningrad
1463;Пионерский;Калининградская область;Россия;2;Europe/Kaliningrad
291;Светлогорск;Калининградская область;Россия;2;Europe/Kaliningrad
473;Светлый;Калининградская область;Россия;2;Europe/Kaliningrad
57;Винница;Винницкая область;Украина;2;Europe/Kiev
103;Жмеринка;Винницкая область;Украина;2;Europe/Kiev
182;Луцк;Волынская область;Украина;2;Europe/Kiev
89;Днепродзержинск;Днепропетровская область;Украина;2;Europe/Kiev
90;Днепропетровск;Днепропетровская область;Украина;2;Europe/Kiev
112;Зеленодольск;Днепропетровская область;Украина;2;Europe/Kiev
166;Кривой Рог;Днепропетровская область;Украина;2;Europe/Kiev
247;Павлоград;Днепропетровская область;Украина;2;Europe/Kiev
1606;Авдеевка;Донецкая область;Украина;2;Europe/Kiev
10;Артёмовск;Донецкая область;Украина;2;Europe/Kiev
76;Горловка;Донецкая область;Украина;2;Europe/Kiev
93;Донецк;Донецкая область;Украина;2;Europe/Kiev
1613;Дружковка;Донецкая область;Украина;2;Europe/Kiev
1572;Константиновка;Донецкая область;Украина;2;Europe/Kiev
160;Краматорск;Донецкая область;Украина;2;Europe/Kiev
1576;Красноармейск;Донецкая область;Украина;2;Europe/Kiev
1579;Красный Лиман;Донецкая область;Украина;2;Europe/Kiev
189;Макеевка;Донецкая область;Украина;2;Europe/Kiev
192;Мариуполь;Донецкая область;Украина;2;Europe/Kiev
362;Харцызск;Донецкая область;Украина;2;Europe/Kiev
102;Житомир;Житомирская область;Украина;2;Europe/Kiev
1529;Новоград-Волынский;Житомирская область;Украина;2;Europe/Kiev
343;Ужгород;Закарпатская область;Украина;2;Europe/Uzhgorod
386;Чоп;Закарпатская область;Украина;2;Europe/Uzhgorod
29;Бердянск;Запорожская область;Украина;2;Europe/Zaporozhye
106;Запорожье;Запорожская область;Украина;2;Europe/Zaporozhye
115;Ивано-Франковск;Ивано-Франковская область;Украина;2;Europe/Kiev
1654;Коломыя;Ивано-Франковская область;Украина;2;Europe/Kiev
1598;Тлумач;Ивано-Франковская область;Украина;2;Europe/Kiev
139;Киев;Киев;Украина;2;Europe/Kiev
45;Бровары;Киевская область;Украина;2;Europe/Kiev
1533;Александрия;Кировоградская область;Украина;2;Europe/Kiev
143;Кировоград;Кировоградская область;Украина;2;Europe/Kiev
190;Малая Виска;Кировоградская область;Украина;2;Europe/Kiev
227;Новоукраинка;Кировоградская область;Украина;2;Europe/Kiev
290;Светловодск;Кировоградская область;Украина;2;Europe/Kiev
1547;Алушта;Крым;Украина;2;Europe/Simferopol
1528;Бахчисарай;Крым;Украина;2;Europe/Simferopol
1614;Евпатория;Крым;Украина;2;Europe/Simferopol
138;Керчь;Крым;Украина;2;Europe/Simferopol
292;Севастополь;Крым;Украина;2;Europe/Simferopol
1593;Симеиз;Крым;Украина;2;Europe/Simferopol
298;Симферополь;Крым;Украина;2;Europe/Simferopol
1597;Танковое;Крым;Украина;2;Europe/Simferopol
432;Ялта;Крым;Украина;2;Europe/Simferopol
3;Алчевск;Луганская область;Украина;2;Europe/Kiev
1542;Антрацит;Луганская область;Украина;2;Europe/Kiev
181;Луганск;Луганская область;Украина;2;Europe/Kiev
1587;Попасная;Луганская область;Украина;2;Europe/Kiev
1629;Свердловск;Луганская область;Украина;2;Europe/Kiev
1595;Стаханов;Луганская область;Украина;2;Europe/Kiev
183;Львов;Львовская область;Украина;2;Europe/Kiev
1653;Сокаль;Львовская область;Украина;2;Europe/Kiev
218;Николаев;Николаевская область;Украина;2;Europe/Kiev
236;Одесса;Одесская область;Украина;2;Europe/Kiev
1611;Гадяч;Полтавская область;Украина;2;Europe/Kiev
1536;Глобино;Полтавская область;Украина;2;Europe/Kiev
1563;Диканька;Полтавская область;Украина;2;Europe/Kiev
1570;Козельщина;Полтавская область;Украина;2;Europe/Kiev
1571;Комсомольск;Полтавская область;Украина;2;Europe/Kiev
165;Кременчуг;Полтавская область;Украина;2;Europe/Kiev
1584;Лохвица;Полтавская область;Украина;2;Europe/Kiev
421;Лубны;Полтавская область;Украина;2;Europe/Kiev
1531;Новые Санжары;Полтавская область;Украина;2;Europe/Kiev
1625;Оржица;Полтавская область;Украина;2;Europe/Kiev
260;Полтава;Полтавская область;Украина;2;Europe/Kiev
1521;Решетиловка;Полтавская область;Украина;2;Europe/Kiev
1603;Хорол;Полтавская область;Украина;2;Europe/Kiev
1604;Шишаки;Полтавская область;Украина;2;Europe/Kiev
276;Ровно;Ровенская область;Украина;2;Europe/Kiev
248;Палиевка;Сумская область;Украина;2;Europe/Kiev
310;Сумы;Сумская область;Украина;2;Europe/Kiev
328;Тернополь;Тернопольская область;Украина;2;Europe/Kiev
1553;Барвенково;Харьковская область;Украина;2;Europe/Kiev
1640;Занки;Харьковская область;Украина;2;Europe/Kiev
1589;Санжары;Харьковская область;Украина;2;Europe/Kiev
363;Харьков;Харьковская область;Украина;2;Europe/Kiev
72;Геническ;Херсонская область;Украина;2;Europe/Kiev
366;Херсон;Херсонская область;Украина;2;Europe/Kiev
367;Хмельницкий;Хмельницкая область;Украина;2;Europe/Kiev
377;Черкассы;Черкасская область;Украина;2;Europe/Kiev
212;Нежин;Черниговская область;Украина;2;Europe/Kiev
1630;Семёновка;Черниговская область;Украина;2;Europe/Kiev
379;Чернигов;Черниговская область;Украина;2;Europe/Kiev
380;Черновцы;Черновицкая область;Украина;2;Europe/Kiev
1501;Сало;;Финляндия;2;Europe/Helsinki
364;Хельсинки;;Финляндия;2;Europe/Helsinki
1465;Эспоо;;Финляндия;2;Europe/Helsinki
417;Кивиыли;;Эстония;2;Europe/Tallinn
423;Маарду;;Эстония;2;Europe/Tallinn
210;Нарва;;Эстония;2;Europe/Tallinn
318;Таллин;;Эстония;2;Europe/Tallinn
320;Тарту;;Эстония;2;Europe/Tallinn
1642;Сухум;;Абхазия;3;Europe/Moscow
188;Майкоп;Адыгея;Россия;3;Europe/Moscow
11;Архангельск;Архангельская область;Россия;3;Europe/Moscow
1636;Нарьян-Мар;Архангельская область;Россия;3;Europe/Moscow
293;Северодвинск;Архангельская область;Россия;3;Europe/Moscow
12;Астрахань;Астраханская область;Россия;3;Europe/Volgograd
1578;Красные Баррикады;Астраханская область;Россия;3;Europe/Volgograd
26;Белгород;Белгородская область;Россия;3;Europe/Moscow
46;Брянск;Брянская область;Россия;3;Europe/Moscow
1541;Александров;Владимирская область;Россия;3;Europe/Moscow
62;Владимир;Владимирская область;Россия;3;Europe/Moscow
409;Гусь-Хрустальный;Владимирская область;Россия;3;Europe/Moscow
151;Ковров;Владимирская область;Россия;3;Europe/Moscow
156;Кольчугино;Владимирская область;Россия;3;Europe/Moscow
1518;Красная Горбатка;Владимирская область;Россия;3;Europe/Moscow
203;Муром;Владимирская область;Россия;3;Europe/Moscow
267;Радужный;Владимирская область;Россия;3;Europe/Moscow
1645;Суздаль;Владимирская область;Россия;3;Europe/Moscow
1482;Юрьев-Польский;Владимирская область;Россия;3;Europe/Moscow
63;Волгоград;Волгоградская область;Россия;3;Europe/Volgograd
64;Волжский;Волгоградская область;Россия;3;Europe/Volgograd
1488;Бабаево;Вологодская область;Россия;3;Europe/Moscow
400;Вожега;Вологодская область;Россия;3;Europe/Moscow
66;Вологда;Вологодская область;Россия;3;Europe/Moscow
406;Вытегра;Вологодская область;Россия;3;Europe/Moscow
401;Грязовец;Вологодская область;Россия;3;Europe/Moscow
1492;Заря;Вологодская область;Россия;3;Europe/Moscow
126;Кадников;Вологодская область;Россия;3;Europe/Moscow
1491;Молочное;Вологодская область;Россия;3;Europe/Moscow
302;Сокол;Вологодская область;Россия;3;Europe/Moscow
336;Тотьма;Вологодская область;Россия;3;Europe/Moscow
353;Устюжна;Вологодская область;Россия;3;Europe/Moscow
1493;Харовск;Вологодская область;Россия;3;Europe/Moscow
1490;Чагода;Вологодская область;Россия;3;Europe/Moscow
376;Череповец;Вологодская область;Россия;3;Europe/Moscow
1489;Шуйское;Вологодская область;Россия;3;Europe/Moscow
395;Юбилейный;Вологодская область;Россия;3;Europe/Moscow
67;Воронеж;Воронежская область;Россия;3;Europe/Moscow
86;Дербент;Дагестан;Россия;3;Europe/Moscow
1560;Вичуга;Ивановская область;Россия;3;Europe/Moscow
114;Иваново;Ивановская область;Россия;3;Europe/Moscow
1600;Фурманов;Ивановская область;Россия;3;Europe/Moscow
186;Магас;Ингушетия;Россия;3;Europe/Moscow
208;Назрань;Ингушетия;Россия;3;Europe/Moscow
209;Нальчик;Кабардино-Балкария;Россия;3;Europe/Moscow
393;Элиста;Калмыкия;Россия;3;Europe/Moscow
1660;Большие Козлы;Калужская область;Россия;3;Europe/Moscow
129;Калуга;Калужская область;Россия;3;Europe/Moscow
191;Малоярославец;Калужская область;Россия;3;Europe/Moscow
235;Обнинск;Калужская область;Россия;3;Europe/Moscow
321;Таруса;Калужская область;Россия;3;Europe/Moscow
378;Черкесск;Карачаево-Черкесия;Россия;3;Europe/Moscow
254;Петрозаводск;Карелия;Россия;3;Europe/Moscow
142;Киров;Кировская область;Россия;3;Europe/Volgograd
1609;Воркута;Коми;Россия;3;Europe/Moscow
315;Сыктывкар;Коми;Россия;3;Europe/Moscow
159;Кострома;Костромская область;Россия;3;Europe/Moscow
5;Анапа;Краснодарский край;Россия;3;Europe/Moscow
8;Апшеронск;Краснодарский край;Россия;3;Europe/Moscow
9;Армавир;Краснодарский край;Россия;3;Europe/Moscow
51;Васюринская;Краснодарский край;Россия;3;Europe/Moscow
659;Геленджик;Краснодарский край;Россия;3;Europe/Moscow
78;Горячий Ключ;Краснодарский край;Россия;3;Europe/Moscow
87;Динская;Краснодарский край;Россия;3;Europe/Moscow
97;Ейск;Краснодарский край;Россия;3;Europe/Moscow
455;Заводской;Краснодарский край;Россия;3;Europe/Moscow
402;Камышеватская;Краснодарский край;Россия;3;Europe/Moscow
1483;Каневская;Краснодарский край;Россия;3;Europe/Moscow
157;Копанская;Краснодарский край;Россия;3;Europe/Moscow
161;Краснодар;Краснодарский край;Россия;3;Europe/Moscow
1484;Крыловская;Краснодарский край;Россия;3;Europe/Moscow
1524;Курганинск;Краснодарский край;Россия;3;Europe/Moscow
419;Кущёвская;Краснодарский край;Россия;3;Europe/Moscow
174;Ленинградская;Краснодарский край;Россия;3;Europe/Moscow
220;Новокубанск;Краснодарский край;Россия;3;Europe/Moscow
224;Новороссийск;Краснодарский край;Россия;3;Europe/Moscow
439;Павловская;Краснодарский край;Россия;3;Europe/Moscow
1651;Северский;Краснодарский край;Россия;3;Europe/Moscow
299;Славянск-на-Кубани;Краснодарский край;Россия;3;Europe/Moscow
1509;Советский;Краснодарский край;Россия;3;Europe/Moscow
306;Сочи;Краснодарский край;Россия;3;Europe/Moscow
403;Староминская;Краснодарский край;Россия;3;Europe/Moscow
404;Старощербиновская;Краснодарский край;Россия;3;Europe/Moscow
327;Темрюк;Краснодарский край;Россия;3;Europe/Moscow
338;Туапсе;Краснодарский край;Россия;3;Europe/Moscow
348;Успенское;Краснодарский край;Россия;3;Europe/Moscow
170;Курск;Курская область;Россия;3;Europe/Moscow
68;Всеволожск;Ленинградская область;Россия;3;Europe/Moscow
69;Выборг;Ленинградская область;Россия;3;Europe/Moscow
1566;Каменногорск;Ленинградская область;Россия;3;Europe/Moscow
144;Кировск (Л);Ленинградская область;Россия;3;Europe/Moscow
155;Колпино;Ленинградская область;Россия;3;Europe/Moscow
180;Луга;Ленинградская область;Россия;3;Europe/Moscow
256;Пикалёво;Ленинградская область;Россия;3;Europe/Moscow
1612;Грязи;Липецкая область;Россия;3;Europe/Moscow
176;Липецк;Липецкая область;Россия;3;Europe/Moscow
125;Йошкар-Ола;Марий-Эл;Россия;3;Europe/Moscow
1607;Ардатов;Мордовия;Россия;3;Europe/Moscow
13;Атюрьево;Мордовия;Россия;3;Europe/Moscow
1551;Атяшево;Мордовия;Россия;3;Europe/Moscow
1552;Большие Березники;Мордовия;Россия;3;Europe/Moscow
35;Большое Игнатово;Мордовия;Россия;3;Europe/Moscow
1564;Инсар;Мордовия;Россия;3;Europe/Moscow
152;Ковылкино;Мордовия;Россия;3;Europe/Moscow
163;Краснослободск;Мордовия;Россия;3;Europe/Moscow
1588;Ромоданово;Мордовия;Россия;3;Europe/Moscow
278;Рузаевка;Мордовия;Россия;3;Europe/Moscow
286;Саранск;Мордовия;Россия;3;Europe/Moscow
372;Чамзинка;Мордовия;Россия;3;Europe/Moscow
111;Зеленоград;Москва;Россия;3;Europe/Moscow
201;Москва;Москва;Россия;3;Europe/Moscow
1610;Воскресенск;Московская область;Россия;3;Europe/Moscow
85;Дедовск;Московская область;Россия;3;Europe/Moscow
88;Дмитров;Московская область;Россия;3;Europe/Moscow
92;Долгопрудный;Московская область;Россия;3;Europe/Moscow
1476;Домодедово;Московская область;Россия;3;Europe/Moscow
95;Дубна;Московская область;Россия;3;Europe/Moscow
411;Егорьевск;Московская область;Россия;3;Europe/Moscow
104;Жуковский;Московская область;Россия;3;Europe/Moscow
116;Ивантеевка;Московская область;Россия;3;Europe/Moscow
122;Истра;Московская область;Россия;3;Europe/Moscow
135;Кашира;Московская область;Россия;3;Europe/Moscow
418;Климовск;Московская область;Россия;3;Europe/Moscow
148;Клин;Московская область;Россия;3;Europe/Moscow
154;Коломна;Московская область;Россия;3;Europe/Moscow
158;Королёв;Московская область;Россия;3;Europe/Moscow
422;Луховицы;Московская область;Россия;3;Europe/Moscow
1619;Лыткарино;Московская область;Россия;3;Europe/Moscow
204;Мытищи;Московская область;Россия;3;Europe/Moscow
426;Одинцово;Московская область;Россия;3;Europe/Moscow
1622;Озёры;Московская область;Россия;3;Europe/Moscow
243;Орехово-Зуево;Московская область;Россия;3;Europe/Moscow
246;Павловская Слобода;Московская область;Россия;3;Europe/Moscow
1481;Павловский Посад;Московская область;Россия;3;Europe/Moscow
253;Пески;Московская область;Россия;3;Europe/Moscow
259;Подольск;Московская область;Россия;3;Europe/Moscow
440;Пущино;Московская область;Россия;3;Europe/Moscow
270;Раменское;Московская область;Россия;3;Europe/Moscow
1513;Реутов;Московская область;Россия;3;Europe/Moscow
297;Серпухов;Московская область;Россия;3;Europe/Moscow
304;Солнечногорск;Московская область;Россия;3;Europe/Moscow
309;Ступино;Московская область;Россия;3;Europe/Moscow
313;Сходня;Московская область;Россия;3;Europe/Moscow
337;Троицк;Московская область;Россия;3;Europe/Moscow
430;Фрязино;Московская область;Россия;3;Europe/Moscow
431;Химки;Московская область;Россия;3;Europe/Moscow
1639;Шахматово;Московская область;Россия;3;Europe/Moscow
1632;Электросталь;Московская область;Россия;3;Europe/Moscow
658;Яхрома;Московская область;Россия;3;Europe/Moscow
7;Апатиты;Мурманская область;Россия;3;Europe/Moscow
70;Гаджиево;Мурманская область;Россия;3;Europe/Moscow
1470;Кандалакша;Мурманская область;Россия;3;Europe/Moscow
146;Кировск (М);Мурманская область;Россия;3;Europe/Moscow
202;Мурманск;Мурманская область;Россия;3;Europe/Moscow
240;Оленья Губа;Мурманская область;Россия;3;Europe/Moscow
261;Полярные Зори;Мурманская область;Россия;3;Europe/Moscow
1469;Полярный;Мурманская область;Россия;3;Europe/Moscow
294;Североморск;Мурманская область;Россия;3;Europe/Moscow
1550;Арзамас;Нижегородская область;Россия;3;Europe/Moscow
34;Большая Ельня;Нижегородская область;Россия;3;Europe/Moscow
37;Бор;Нижегородская область;Россия;3;Europe/Moscow
1475;Дзержинск (Н);Нижегородская область;Россия;3;Europe/Moscow
1565;Ичалки;Нижегородская область;Россия;3;Europe/Moscow
1575;Кочкурово;Нижегородская область;Россия;3;Europe/Moscow
1538;Лукоянов;Нижегородская область;Россия;3;Europe/Moscow
216;Нижний Новгород;Нижегородская область;Россия;3;Europe/Moscow
288;Саров;Нижегородская область;Россия;3;Europe/Moscow
55;Великий Новгород;Новгородская область;Россия;3;Europe/Moscow
307;Старая Русса;Новгородская область;Россия;3;Europe/Moscow
242;Орёл;Орловская область;Россия;3;Europe/Moscow
250;Пенза;Пензенская область;Россия;3;Europe/Moscow
54;Великие Луки;Псковская область;Россия;3;Europe/Moscow
117;Идрица;Псковская область;Россия;3;Europe/Moscow
1577;Красногородск;Псковская область;Россия;3;Europe/Moscow
223;Новоржев;Псковская область;Россия;3;Europe/Moscow
265;Псков;Псковская область;Россия;3;Europe/Moscow
2;Азов;Ростовская область;Россия;3;Europe/Moscow
1456;Константиновск;Ростовская область;Россия;3;Europe/Moscow
228;Новочеркасск;Ростовская область;Россия;3;Europe/Moscow
1457;Новошахтинск;Ростовская область;Россия;3;Europe/Moscow
277;Ростов-на-Дону;Ростовская область;Россия;3;Europe/Moscow
316;Таганрог;Ростовская область;Россия;3;Europe/Moscow
281;Рязань;Рязанская область;Россия;3;Europe/Moscow
1505;Сасово;Рязанская область;Россия;3;Europe/Moscow
141;Кинель;Самарская область;Россия;3;Europe/Samara
226;Новоспасский;Самарская область;Россия;3;Europe/Samara
1661;Приволжье;Самарская область;Россия;3;Europe/Samara
282;Самара;Самарская область;Россия;3;Europe/Samara
314;Сызрань;Самарская область;Россия;3;Europe/Samara
332;Тольятти;Самарская область;Россия;3;Europe/Samara
1497;Ломоносов;Санкт-Петербург;Россия;3;Europe/Moscow
451;Петродворец;Санкт-Петербург;Россия;3;Europe/Moscow
1496;Пушкин;Санкт-Петербург;Россия;3;Europe/Moscow
285;Санкт-Петербург;Санкт-Петербург;Россия;3;Europe/Moscow
1500;Балаково;Саратовская область;Россия;3;Europe/Volgograd
287;Саратов;Саратовская область;Россия;3;Europe/Volgograd
61;Владикавказ;Северная Осетия  Алания;Россия;3;Europe/Moscow
300;Смоленск;Смоленская область;Россия;3;Europe/Moscow
219;Новоалександровск;Ставропольский край;Россия;3;Europe/Moscow
266;Пятигорск;Ставропольский край;Россия;3;Europe/Moscow
319;Тамбов;Тамбовская область;Россия;3;Europe/Moscow
